City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,meulaboh,4.1363,96.1285,23.69,88,100,1.64,ID,1670100794
261,carire,-3.9506,-40.4733,31.83,31,77,1.86,BR,1670100795
262,naifaru,5.4444,73.3657,27.28,74,93,1.77,MV,1670100796
263,esperance,-33.8667,121.9,16.35,82,100,5.72,AU,1670100796
264,tazmalt,36.3868,4.3989,11.38,63,25,2.51,DZ,1670100797
265,cuamba,-14.8031,36.5372,22.68,79,79,1.15,MZ,1670100797
266,monrovia,6.3005,-10.7969,24.87,84,27,2.87,LR,1670100798
267,tahta,26.7693,31.5021,18.13,45,97,2.8,EG,1670100798
268,san quintin,30.4833,-115.95,19.07,56,100,1.38,MX,1670100799
269,abu zabad,12.35,29.25,23.63,30,4,4.79,SD,1670100799
270,nnewi,6.0199,6.9148,25.84,65,25,2.54,NG,1670100800
271,rochester,43.1548,-77.6156,6.46,67,100,9.77,US,1670100545
272,udachnyy,66.4167,112.4,-15.63,92,100,10.51,RU,1670100801
273,hinton,53.4001,-117.5857,-6.53,77,12,4.48,CA,1670100801
274,tofield,53.3668,-112.6686,-8.74,75,8,6.59,CA,1670100802
275,amapa,1.0,-52.0,23.02,97,94,1.83,BR,1670100802
276,litovko,49.2361,135.1742,-20.96,75,21,7.33,RU,1670100803
277,turtas,58.9417,69.1325,-14.91,95,100,2.81,RU,1670100863
278,assisi,43.0691,12.6165,8.6,92,100,1.54,IT,1670100864
279,nalut,30.3333,10.85,15.64,17,18,2.05,LY,1670100864
280,kaiu,59.0129,25.0551,-8.23,98,100,1.15,EE,1670100865
281,duluth,46.7833,-92.1066,-9.69,57,0,9.26,US,1670100579
282,abonnema,4.7084,6.7931,26.44,82,72,3.26,NG,1670100866
283,georgetown,5.4112,100.3354,26.8,93,20,2.57,MY,1670100640
284,puerto leguizamo,-0.1934,-74.7819,33.22,40,63,2.0,CO,1670100867
285,sumenep,-7.0167,113.8667,26.37,80,98,0.79,ID,1670100867
286,qarqin,37.4185,66.0436,5.24,41,100,2.56,AF,1670100868
287,pevek,69.7008,170.3133,-17.89,77,77,4.35,RU,1670100868
288,tarata,-17.6167,-66.0167,23.68,43,42,4.9,BO,1670100869
289,port lincoln,-34.7333,135.8667,20.86,51,99,3.13,AU,1670100869
290,terrace,54.5163,-128.6035,-11.05,52,40,9.77,CA,1670100869
291,san andres,12.5847,-81.7006,30.01,66,40,8.23,CO,1670100870
292,rengo,-34.4167,-70.8667,31.18,17,33,4.56,CL,1670100870
293,salalah,17.0151,54.0924,23.2,50,0,1.15,OM,1670100871
294,beringovskiy,63.05,179.3167,-0.97,97,100,10.18,RU,1670100871
295,sechura,-5.5569,-80.8222,25.68,55,67,8.0,PE,1670100872
296,talnakh,69.4865,88.3972,-22.11,99,100,2.28,RU,1670100872
297,yangambi,0.8102,24.4336,22.03,91,94,0.74,CD,1670100873
298,guilin,25.2819,110.2864,7.06,85,100,3.78,CN,1670100873
299,airai,-8.9266,125.4092,14.65,69,28,0.85,TL,1670100874
300,nizhnevartovsk,60.9344,76.5531,-15.99,85,100,2.0,RU,1670100868
301,novyy urengoy,66.0833,76.6333,-21.01,98,26,3.51,RU,1670100875
302,lebu,-37.6167,-73.65,16.34,69,79,5.49,CL,1670100875
303,xining,36.6167,101.7667,-7.12,48,100,0.86,CN,1670100876
304,bambous virieux,-20.3428,57.7575,24.14,78,40,0.0,MU,1670100876
305,college,64.8569,-147.8028,-2.82,90,100,2.06,US,1670100727
306,solnechnyy,50.7214,136.6319,-20.85,97,100,1.1,RU,1670100877
307,tarnogskiy gorodok,60.4997,43.5761,-11.52,89,96,2.11,RU,1670100878
308,kushima,31.4583,131.2333,14.05,96,100,3.04,JP,1670100878
309,san francisco,37.7749,-122.4194,10.66,94,100,1.79,US,1670100708
310,mishkino,55.3389,63.9175,-18.54,91,8,3.26,RU,1670100879
311,aksarka,66.5606,67.7975,-12.2,92,100,1.54,RU,1670100879
312,camacha,33.0833,-16.3333,13.68,82,40,4.12,PT,1670100879
313,honiara,-9.4333,159.95,27.15,83,100,1.71,SB,1670100880
314,flin flon,54.7682,-101.865,-20.09,71,100,3.6,CA,1670100880
315,yancheng,33.3856,120.1253,7.55,66,99,7.1,CN,1670100881
316,nyazepetrovsk,56.0531,59.6028,-18.16,94,15,2.32,RU,1670100881
317,vila velha,-20.3297,-40.2925,23.97,97,100,4.12,BR,1670100882
318,pringsewu,-5.3582,104.9744,23.19,91,100,1.89,ID,1670100882
319,quesnel,52.9999,-122.5029,-21.72,77,100,1.03,CA,1670100626
320,chulman,56.8479,124.9104,-21.28,95,100,3.15,RU,1670100883
321,eatonton,33.3268,-83.3885,19.5,87,96,1.86,US,1670100884
322,ozernovskiy,51.5,156.5167,-2.91,75,100,5.4,RU,1670100884
323,luena,-11.7833,19.9167,16.75,87,23,1.5,AO,1670100945
324,pudozh,61.8099,36.5345,-6.47,69,100,3.69,RU,1670100945
325,itupiranga,-5.1347,-49.3267,25.18,93,100,1.84,BR,1670100946
326,bilibino,68.0546,166.4372,-17.18,84,90,2.07,RU,1670100935
327,sao filipe,14.8961,-24.4956,22.67,63,100,3.88,CV,1670100947
328,conway,35.0887,-92.4421,13.89,43,0,4.63,US,1670100712
329,vigrestad,58.5667,5.7,0.82,63,0,7.19,NO,1670100948
330,abu samrah,35.3029,37.1841,13.47,73,94,1.34,SY,1670100948
331,bambanglipuro,-7.95,110.2833,24.5,88,100,0.4,ID,1670100949
332,waipawa,-41.4122,175.5153,14.97,63,87,1.76,NZ,1670100949
333,lasa,46.6166,10.7002,2.79,98,98,1.89,IT,1670100950
334,tateyama,34.9833,139.8667,15.96,51,40,11.83,JP,1670100950
335,nador,35.174,-2.9287,13.14,82,0,0.51,MA,1670100951
336,adjumani,3.3779,31.7909,24.5,58,89,1.5,UG,1670100951
337,russell,32.3502,-85.1999,19.53,83,20,2.06,US,1670100952
338,mubende,0.5606,31.39,16.25,92,29,1.04,UG,1670100952
339,buala,-8.145,159.5921,27.6,79,100,2.47,SB,1670100953
